10,50
11,38
12,36
13,42
14,39
15,42
16,47
17,45
18,48
19,48
20,32
21,33
22,33
23,34
24,36
25,35
26,37
27,38
28,40
29,42
30,42
31,43
32,46
33,47
34,49
35,50
36,50
37,56
38,52
39,57
40,57
41,61
42,61
43,65
44,61
45,67
46,65
47,66
48,70
49,68
50,70
51,75
52,70
53,54
54,65
55,57
56,66
57,56
58,56
59,59
60,59
61,59
62,60
63,61
64,65
65,62
66,64
67,74
68,70
69,66
70,70
71,68
72,66
73,63
74,65
75,66
76,67
77,66
78,66
79,67
80,66
81,69
82,69
83,75
84,73
85,74
86,72
87,73
88,86
89,57
90,57
91,57
92,59
93,59
94,59
95,61
96,62
97,61
98,62
99,63
100,70
101,75
102,76
103,78
104,83
105,84
106,90
107,88
108,80
109,83
110,74
111,99
112,84
113,75
114,73
115,73
116,73
117,73
118,74
119,73
120,76
121,76
122,78
123,84
124,62
125,63
126,65
127,64
128,65
129,76
130,69
131,79
132,88
133,88
134,86
135,81
136,72
137,86
138,89
139,87
140,116
141,100
142,104
143,85
144,95
145,92
146,88
147,83
148,74
149,80
150,78
151,78
152,80
153,80
154,92
155,105
156,105
157,121
158,91
159,92
160,90
161,91
162,80
163,71
164,69
165,68
166,70
167,71
168,92
169,71
170,72
171,73
172,74
173,75
174,73
175,74
176,75
177,73
178,76
179,75
180,75
181,76
182,77
183,79
184,80
185,107
186,105
187,107
188,107
189,107
190,109
191,91
192,84
193,82
194,83
195,85
196,84
197,86
198,85
199,86
200,88
201,88
202,85
203,86
204,87
205,80
206,80
207,83
208,82
209,92
210,86
211,86
212,85
213,89
214,105
215,88
216,84
217,84
218,84
219,84
220,84
221,85
222,85
223,86
224,87
225,89
226,90
227,88
228,92
229,88
230,101
231,98
232,112
233,126
234,118
235,97
236,97
237,100
238,118
239,127
240,127
241,149
242,127
243,99
244,96
245,109
246,107
247,112
248,124
249,110
250,116
251,115
252,114
253,146
254,114
255,105
256,111
257,116
258,106
259,120
260,116
261,112
262,134
263,115
264,116
265,116
266,113
267,137
268,137
269,139
270,138
271,110
272,106
273,106
274,107
275,108
276,109
277,109
278,109
279,128
280,109
281,109
282,110
283,111
284,112
285,111
286,112
287,115
288,114
289,112
290,115
291,114
292,113
293,117
294,140
295,146
296,149
297,150
298,145
299,141
300,142
301,145
302,150
303,150
304,149
305,141
306,167
307,181
308,149
309,145
310,151
311,146
312,139
313,140
314,125
315,144
316,162
317,138
318,126
319,124
320,127
321,125
322,124
323,126
324,125
325,127
326,127
327,127
328,128
329,128
330,130
331,131
332,133
333,130
334,146
335,152
336,175
337,197
338,142
339,169
340,203
341,165
342,164
343,161
344,141
345,147
346,157
347,157
348,151
349,162
350,154
351,183
352,145
353,144
354,144
355,157
356,146
357,155
358,165
359,146
360,176
361,144
362,143
363,145
364,157
365,183
366,202
367,157
368,153
369,197
370,214
371,159
372,148
373,150
374,153
375,153
376,150
377,150
378,150
379,150
380,156
381,154
382,151
383,153
384,155
385,156
386,156
387,156
388,183
389,186
390,161
391,157
392,180
393,179
394,193
395,166
396,168
397,166
398,173
399,191
400,171
401,173
402,175
403,187
404,207
405,187
406,190
407,190
408,194
409,197
410,174
411,173
412,165
413,170
414,167
415,165
416,182
417,171
418,179
419,185
420,231
421,179
422,182
423,187
424,184
425,171
426,170
427,173
428,169
429,176
430,178
431,176
432,175
433,173
434,179
435,176
436,184
437,176
438,177
439,176
440,175
441,177
442,179
443,178
444,220
445,228
446,222
447,192
448,228
449,214
450,204
451,185
452,184
453,180
454,181
455,181
456,181
457,180
458,184
459,181
460,186
461,184
462,185
463,185
464,183
465,213
466,235
467,200
468,211
469,225
470,224
471,224
472,236
473,197
474,201
475,198
476,219
